#timestamp imgname x y z qx qy qz qw
1779938699.345123 pano/1779938699.345123.jpg 505979.262439 2495851.904603 19.498372 -0.446033 -0.545885 0.610812 0.360518
1779938700.144633 pano/1779938700.144633.jpg 505978.689938 2495852.601165 19.578415 0.471457 0.560684 -0.537718 -0.417399
1779938700.944142 pano/1779938700.944142.jpg 505977.978645 2495853.373610 19.587943 0.451594 0.566417 -0.565106 -0.394830
1779938701.543776 pano/1779938701.543776.jpg 505977.481746 2495854.011709 19.598453 -0.414510 -0.486032 0.633147 0.437126
1779938702.243345 pano/1779938702.243345.jpg 505976.923670 2495854.693737 19.566452 -0.432633 -0.560431 0.578966 0.404407
1779938703.142795 pano/1779938703.142795.jpg 505976.192058 2495855.662419 19.563723 -0.485197 -0.518379 0.554284 0.434323
1779938703.942304 pano/1779938703.942304.jpg 505975.449237 2495856.529058 19.560133 -0.484462 -0.490278 0.579193 0.435270
1779938704.641884 pano/1779938704.641884.jpg 505974.835464 2495857.313781 19.548094 -0.461410 -0.537890 0.596492 0.376793
1779938705.441386 pano/1779938705.441386.jpg 505974.253056 2495858.215052 19.556634 -0.462021 -0.454173 0.632853 0.423982
1779938706.140963 pano/1779938706.140963.jpg 505973.806526 2495858.933596 19.539902 -0.486444 -0.486833 0.570296 0.448473
1779938706.940521 pano/1779938706.940521.jpg 505973.269867 2495859.816570 19.565284 -0.532873 -0.488704 0.552111 0.415197
1779938707.839920 pano/1779938707.839920.jpg 505972.736404 2495860.836203 19.583553 -0.518443 -0.454916 0.559076 0.460111
1779938708.439552 pano/1779938708.439552.jpg 505972.330128 2495861.589755 19.572294 -0.488627 -0.529415 0.569217 0.396176
1779938709.838713 pano/1779938709.838713.jpg 505971.556655 2495863.133683 19.599663 -0.508875 -0.487553 0.554501 0.442569
1779938710.438336 pano/1779938710.438336.jpg 505971.189364 2495863.859396 19.605994 -0.464329 -0.549409 0.555258 0.417417
1779938711.137907 pano/1779938711.137907.jpg 505970.777390 2495864.673483 19.610328 -0.453342 -0.520713 0.589212 0.419724
1779938712.437112 pano/1779938712.437112.jpg 505970.020613 2495866.185458 19.605971 -0.447912 -0.508257 0.557976 0.479283
1779938713.236622 pano/1779938713.236622.jpg 505969.448797 2495867.122038 19.629362 -0.420003 -0.538601 0.608116 0.404600
1779938714.136072 pano/1779938714.136072.jpg 505968.821934 2495868.159823 19.590719 -0.437344 -0.516959 0.609947 0.411642
1779938714.735703 pano/1779938714.735703.jpg 505968.389154 2495868.815826 19.590558 -0.458621 -0.547462 0.582846 0.387613
1779938715.835032 pano/1779938715.835032.jpg 505967.633707 2495870.060930 19.591863 -0.423049 -0.490894 0.615830 0.448114
1779938716.334729 pano/1779938716.334729.jpg 505967.250196 2495870.626374 19.609546 -0.421853 -0.512921 0.601235 0.444375
1779938717.034295 pano/1779938717.034295.jpg 505966.747503 2495871.402989 19.629220 -0.401615 -0.538361 0.634847 0.381893
1779938717.633928 pano/1779938717.633928.jpg 505966.379638 2495872.058857 19.612089 -0.430460 -0.465688 0.632762 0.444355
1779938718.033683 pano/1779938718.033683.jpg 505966.164666 2495872.552488 19.623708 -0.459835 -0.483135 0.594105 0.449635
1779938718.633316 pano/1779938718.633316.jpg 505965.841085 2495873.185664 19.627441 -0.522286 -0.468765 0.522908 0.483781
1779938719.232948 pano/1779938719.232948.jpg 505965.426575 2495873.930813 19.648352 -0.460938 -0.500015 0.567390 0.464317
1779938720.032465 pano/1779938720.032465.jpg 505964.933784 2495874.831600 19.652989 -0.421235 -0.506212 0.589091 0.468276
1779938720.732030 pano/1779938720.732030.jpg 505964.609528 2495875.585608 19.605949 -0.466884 -0.474845 0.512572 0.542045
1779938721.831355 pano/1779938721.831355.jpg 505964.092631 2495877.001899 19.641727 -0.436129 -0.488166 0.518376 0.550247
1779938722.730800 pano/1779938722.730800.jpg 505963.772051 2495878.106660 19.630297 -0.456257 -0.469449 0.502557 0.564699
1779938723.530309 pano/1779938723.530309.jpg 505963.432156 2495879.132176 19.692552 -0.460995 -0.459712 0.513266 0.559201
1779938724.129941 pano/1779938724.129941.jpg 505963.139657 2495879.964509 19.647233 -0.444814 -0.483137 0.531256 0.535245
1779938725.129328 pano/1779938725.129328.jpg 505962.713531 2495881.218502 19.637260 -0.464824 -0.522773 0.548967 0.457474
1779938725.629022 pano/1779938725.629022.jpg 505962.558856 2495881.812096 19.596903 -0.464298 -0.462847 0.572455 0.492437
1779938726.128711 pano/1779938726.128711.jpg 505962.268037 2495882.438084 19.599864 -0.476666 -0.482917 0.559843 0.475559
1779938726.928219 pano/1779938726.928219.jpg 505961.816239 2495883.403160 19.614749 -0.469235 -0.537663 0.558262 0.423179
1779938727.627796 pano/1779938727.627796.jpg 505961.418407 2495884.198150 19.582711 -0.464383 -0.488946 0.569060 0.470586
1779938728.127483 pano/1779938728.127483.jpg 505961.128985 2495884.769505 19.607131 -0.443526 -0.471974 0.565504 0.510617
1779938728.927044 pano/1779938728.927044.jpg 505960.627594 2495885.740751 19.620609 -0.475250 -0.533559 0.542998 0.441141
1779938729.526624 pano/1779938729.526624.jpg 505960.271433 2495886.451201 19.582713 -0.435692 -0.511997 0.595529 0.439745
1779938730.226190 pano/1779938730.226190.jpg 505959.985176 2495887.264121 19.593458 -0.521789 -0.414828 0.575070 0.474288
1779938731.125638 pano/1779938731.125638.jpg 505959.589869 2495888.363685 19.592113 -0.536118 -0.453907 0.541776 0.461546
1779938731.925147 pano/1779938731.925147.jpg 505959.157152 2495889.425620 19.595715 -0.487501 -0.488972 0.576360 0.437103
1779938733.024471 pano/1779938733.024471.jpg 505958.565423 2495890.738545 19.616861 -0.466719 -0.522218 0.554746 0.449131
1779938733.724040 pano/1779938733.724040.jpg 505958.197124 2495891.622620 19.634153 -0.472855 -0.518020 0.586152 0.405573
1779938734.323669 pano/1779938734.323669.jpg 505957.929487 2495892.350918 19.587669 -0.477393 -0.468710 0.582905 0.461116
1779938735.422995 pano/1779938735.422995.jpg 505957.438478 2495893.771437 19.594905 -0.483585 -0.498859 0.588528 0.413426
1779938736.122564 pano/1779938736.122564.jpg 505957.128329 2495894.653029 19.599897 -0.530521 -0.421562 0.553969 0.483685
1779938737.022012 pano/1779938737.022012.jpg 505956.555116 2495895.730527 19.639384 0.519725 0.520279 -0.519409 -0.435213
1779938737.721582 pano/1779938737.721582.jpg 505956.101354 2495896.610315 19.615765 -0.466351 -0.515968 0.601357 0.393273
1779938739.120722 pano/1779938739.120722.jpg 505955.405738 2495898.230448 19.604228 0.478094 0.544784 -0.536361 -0.432382
1779938740.220054 pano/1779938740.220054.jpg 505954.844970 2495899.660898 19.592800 -0.498934 -0.513965 0.549097 0.430578
1779938741.119494 pano/1779938741.119494.jpg 505954.302411 2495900.795456 19.558019 -0.471277 -0.533208 0.555079 0.430667
1779938741.519249 pano/1779938741.519249.jpg 505954.011828 2495901.298201 19.562108 -0.480541 -0.539644 0.578916 0.377785
1779938742.018943 pano/1779938742.018943.jpg 505953.728009 2495901.889107 19.548123 -0.473884 -0.493314 0.602074 0.411804
1779938743.118267 pano/1779938743.118267.jpg 505953.108462 2495903.197962 19.574068 -0.515280 -0.518883 0.523372 0.437412
1779938744.417469 pano/1779938744.417469.jpg 505952.314225 2495904.769165 19.579290 -0.451195 -0.515020 0.570865 0.453090
1779938745.616732 pano/1779938745.616732.jpg 505951.199230 2495905.939849 19.579768 -0.389332 -0.608609 0.618099 0.309788
1779938746.416242 pano/1779938746.416242.jpg 505950.124549 2495906.113524 19.563152 -0.106353 -0.689635 0.712440 0.074312
1779938747.415629 pano/1779938747.415629.jpg 505949.096454 2495905.465026 19.560544 -0.197736 0.717649 -0.630546 0.219757
1779938748.415029 pano/1779938748.415029.jpg 505948.941550 2495904.170112 19.556796 -0.451596 0.553057 -0.465111 0.523317
1779938749.014647 pano/1779938749.014647.jpg 505949.271004 2495903.492064 19.554074 -0.568844 0.481580 -0.358106 0.562367
1779938749.514341 pano/1779938749.514341.jpg 505949.680112 2495902.985556 19.569186 -0.622901 0.421428 -0.269101 0.601645
1779938750.213910 pano/1779938750.213910.jpg 505950.220500 2495902.281910 19.595339 -0.607141 0.390438 -0.265517 0.639093
1779938750.913481 pano/1779938750.913481.jpg 505950.670930 2495901.606972 19.582950 -0.587581 0.416170 -0.359174 0.593755
1779938751.313236 pano/1779938751.313236.jpg 505951.027765 2495901.183726 19.597027 -0.610891 0.394126 -0.297426 0.618882
1779938752.112745 pano/1779938752.112745.jpg 505951.626821 2495900.380268 19.584637 -0.583049 0.434125 -0.282857 0.625764
1779938753.112134 pano/1779938753.112134.jpg 505952.404301 2495899.344020 19.561629 -0.564446 0.450424 -0.284968 0.630327
1779938753.711764 pano/1779938753.711764.jpg 505952.900604 2495898.798433 19.567341 -0.572456 0.444262 -0.302375 0.619269
1779938754.711151 pano/1779938754.711151.jpg 505953.498486 2495897.698556 19.531846 -0.476198 0.524172 -0.370620 0.600932
1779938755.510660 pano/1779938755.510660.jpg 505953.991238 2495896.799750 19.550891 -0.537438 0.528695 -0.289469 0.589787
1779938756.609984 pano/1779938756.609984.jpg 505954.609169 2495895.521338 19.532095 -0.494083 0.511256 -0.333708 0.618982
1779938757.609372 pano/1779938757.609372.jpg 505955.124199 2495894.370752 19.559197 -0.530510 0.508850 -0.332024 0.591093
1779938758.209004 pano/1779938758.209004.jpg 505955.475286 2495893.607294 19.567522 -0.543250 0.472443 -0.333914 0.608423
1779938759.008514 pano/1779938759.008514.jpg 505955.880077 2495892.690908 19.572391 -0.556666 0.458003 -0.318945 0.615329
1779938760.007906 pano/1779938760.007906.jpg 505956.441933 2495891.616758 19.538451 -0.549162 0.463727 -0.273682 0.639121
1779938760.707470 pano/1779938760.707470.jpg 505956.884397 2495890.880509 19.518356 -0.533228 0.475630 -0.309140 0.627596
1779938761.407042 pano/1779938761.407042.jpg 505957.367607 2495890.178686 19.551713 -0.539145 0.493372 -0.292679 0.616641
1779938762.606305 pano/1779938762.606305.jpg 505957.993649 2495888.874330 19.525068 -0.461038 0.532039 -0.388630 0.594429
1779938763.405815 pano/1779938763.405815.jpg 505958.473970 2495887.961489 19.592608 -0.451928 0.556363 -0.419022 0.557352
1779938764.505140 pano/1779938764.505140.jpg 505959.228166 2495886.699276 19.519954 -0.502794 0.500463 -0.286072 0.644126
1779938765.704403 pano/1779938765.704403.jpg 505959.891387 2495885.385724 19.536231 -0.565109 0.467106 -0.300127 0.610236
