#timestamp x y z qw qx qy qz
1779938688.214822 505980.352933 2495851.495808 18.959386 -0.199650 -0.003307 -0.001679 0.979860
1779938688.314846 505980.353093 2495851.496537 18.958843 -0.199502 -0.003382 -0.001737 0.979890
1779938688.414869 505980.353608 2495851.497266 18.958348 -0.199320 -0.003508 -0.001850 0.979926
1779938688.514878 505980.354475 2495851.498009 18.957883 -0.199138 -0.003561 -0.001932 0.979963
1779938688.622080 505980.355898 2495851.498586 18.957538 -0.199014 -0.003622 -0.001994 0.979988
1779938688.722081 505980.357515 2495851.498870 18.957382 -0.199091 -0.003660 -0.002035 0.979972
1779938688.822082 505980.359281 2495851.498873 18.957403 -0.199061 -0.003729 -0.001982 0.979978
1779938688.922083 505980.361051 2495851.498504 18.957685 -0.199151 -0.003724 -0.001862 0.979960
1779938689.022085 505980.362582 2495851.497841 18.958206 -0.199236 -0.003623 -0.001761 0.979943
1779938689.122087 505980.363776 2495851.496960 18.958884 -0.199294 -0.003392 -0.001577 0.979933
1779938689.214887 505980.364507 2495851.496023 18.959545 -0.199412 -0.002868 -0.001465 0.979911
1779938689.314894 505980.365018 2495851.494942 18.960172 -0.199422 -0.002718 -0.001645 0.979908
1779938689.414909 505980.365138 2495851.493768 18.960601 -0.199142 -0.002735 -0.001835 0.979965
1779938689.514916 505980.364705 2495851.492740 18.960771 -0.199379 -0.002938 -0.002049 0.979916
1779938689.614919 505980.364015 2495851.491817 18.960659 -0.199641 -0.003105 -0.002108 0.979862
1779938689.714923 505980.363291 2495851.491051 18.960298 -0.199828 -0.003288 -0.002241 0.979823
1779938689.814934 505980.362588 2495851.490468 18.959778 -0.199789 -0.003479 -0.002269 0.979830
1779938689.914944 505980.361919 2495851.490045 18.959221 -0.199665 -0.003744 -0.002215 0.979855
1779938690.014954 505980.361232 2495851.489896 18.958690 -0.199547 -0.003921 -0.002081 0.979878
1779938690.114970 505980.360639 2495851.490100 18.958306 -0.199516 -0.003823 -0.001849 0.979885
1779938690.222174 505980.360151 2495851.490686 18.958051 -0.199624 -0.003441 -0.001724 0.979865
1779938690.322176 505980.359905 2495851.491515 18.957951 -0.199607 -0.003274 -0.001737 0.979869
1779938690.422176 505980.359869 2495851.492527 18.957914 -0.199215 -0.003356 -0.001842 0.979948
1779938690.522177 505980.360018 2495851.493648 18.957930 -0.199058 -0.003508 -0.001960 0.979979
1779938690.622179 505980.360434 2495851.494772 18.958013 -0.199023 -0.003643 -0.002065 0.979986
1779938690.722179 505980.361131 2495851.495824 18.958166 -0.199122 -0.003624 -0.002012 0.979966
1779938690.822181 505980.362152 2495851.496720 18.958458 -0.199103 -0.003660 -0.001959 0.979970
1779938690.922181 505980.363340 2495851.497266 18.958839 -0.199165 -0.003731 -0.001832 0.979957
1779938691.022182 505980.364616 2495851.497444 18.959341 -0.199299 -0.003640 -0.001702 0.979931
1779938691.122182 505980.365738 2495851.497174 18.959893 -0.199304 -0.003485 -0.001598 0.979930
1779938691.222183 505980.366579 2495851.496518 18.960497 -0.199238 -0.003088 -0.001543 0.979945
1779938691.322183 505980.367135 2495851.495739 18.961082 -0.199300 -0.002712 -0.001640 0.979933
1779938691.422185 505980.367312 2495851.494802 18.961556 -0.199222 -0.002724 -0.001883 0.979949
1779938691.522187 505980.367010 2495851.493820 18.961803 -0.199218 -0.002824 -0.002079 0.979949
1779938691.622187 505980.366181 2495851.492874 18.961786 -0.199241 -0.003094 -0.002211 0.979943
1779938691.722189 505980.365065 2495851.492041 18.961467 -0.199583 -0.003286 -0.002295 0.979873
1779938691.822189 505980.363822 2495851.491376 18.960942 -0.199799 -0.003439 -0.002374 0.979828
1779938691.922190 505980.362521 2495851.490932 18.960294 -0.199778 -0.003702 -0.002246 0.979832
1779938692.022192 505980.361165 2495851.490719 18.959582 -0.199676 -0.003858 -0.002089 0.979852
1779938692.122192 505980.359863 2495851.490759 18.958886 -0.199481 -0.003935 -0.001952 0.979892
1779938692.222193 505980.358768 2495851.491122 18.958324 -0.199498 -0.003661 -0.001770 0.979890
1779938692.322193 505980.357982 2495851.491867 18.957948 -0.199525 -0.003345 -0.001615 0.979886
1779938692.422194 505980.357540 2495851.492894 18.957711 -0.199384 -0.003331 -0.001771 0.979914
1779938692.522195 505980.357445 2495851.494032 18.957522 -0.199179 -0.003499 -0.001813 0.979955
1779938692.622196 505980.357731 2495851.495178 18.957385 -0.199086 -0.003583 -0.001921 0.979974
1779938692.722195 505980.358335 2495851.496256 18.957320 -0.199120 -0.003648 -0.001895 0.979967
1779938692.822197 505980.359294 2495851.497176 18.957378 -0.199118 -0.003631 -0.001926 0.979967
1779938692.922197 505980.360463 2495851.497850 18.957608 -0.199132 -0.003671 -0.001854 0.979964
1779938693.022198 505980.361690 2495851.498219 18.958066 -0.199239 -0.003655 -0.001742 0.979943
1779938693.122198 505980.362775 2495851.498173 18.958703 -0.199330 -0.003537 -0.001630 0.979925
1779938693.222200 505980.363614 2495851.497776 18.959440 -0.199255 -0.003312 -0.001507 0.979941
1779938693.322201 505980.364224 2495851.497112 18.960224 -0.199352 -0.002808 -0.001492 0.979923
1779938693.422202 505980.364543 2495851.496333 18.960914 -0.199395 -0.002771 -0.001663 0.979914
1779938693.522201 505980.364551 2495851.495440 18.961385 -0.199370 -0.002888 -0.001819 0.979918
1779938693.622203 505980.364238 2495851.494511 18.961557 -0.199389 -0.002991 -0.001940 0.979914
1779938693.722205 505980.363608 2495851.493624 18.961398 -0.199650 -0.003171 -0.002126 0.979860
1779938693.822206 505980.362808 2495851.492836 18.960989 -0.199821 -0.003326 -0.002326 0.979824
1779938693.922207 505980.361912 2495851.492258 18.960446 -0.199838 -0.003553 -0.002273 0.979820
1779938694.022209 505980.360898 2495851.491871 18.959881 -0.199698 -0.003809 -0.002098 0.979848
1779938694.122211 505980.359787 2495851.491764 18.959382 -0.199519 -0.003949 -0.002000 0.979884
1779938694.222211 505980.358694 2495851.492002 18.958929 -0.199510 -0.003822 -0.001759 0.979887
1779938694.322211 505980.357789 2495851.492611 18.958564 -0.199628 -0.003400 -0.001639 0.979865
1779938694.422212 505980.357233 2495851.493616 18.958283 -0.199454 -0.003327 -0.001599 0.979900
1779938694.522213 505980.356987 2495851.494847 18.958039 -0.199319 -0.003449 -0.001828 0.979927
1779938694.622214 505980.357115 2495851.496151 18.957771 -0.199145 -0.003584 -0.001946 0.979962
1779938694.722215 505980.357615 2495851.497452 18.957550 -0.199120 -0.003618 -0.001974 0.979966
1779938694.822216 505980.358466 2495851.498614 18.957443 -0.199103 -0.003676 -0.001979 0.979970
1779938694.922217 505980.359602 2495851.499550 18.957502 -0.199110 -0.003720 -0.001950 0.979968
1779938695.022218 505980.360839 2495851.500087 18.957827 -0.199239 -0.003658 -0.001787 0.979943
1779938695.122218 505980.361988 2495851.500087 18.958466 -0.199357 -0.003495 -0.001655 0.979919
1779938695.222219 505980.362934 2495851.499547 18.959310 -0.199387 -0.003338 -0.001532 0.979914
1779938695.322219 505980.363541 2495851.498636 18.960185 -0.199311 -0.002912 -0.001433 0.979931
1779938695.422220 505980.363844 2495851.497500 18.960977 -0.199320 -0.002771 -0.001661 0.979929
1779938695.522219 505980.363831 2495851.496294 18.961528 -0.199309 -0.002858 -0.001827 0.979931
1779938695.622221 505980.363431 2495851.495106 18.961702 -0.199329 -0.002937 -0.001913 0.979926
1779938695.722222 505980.362735 2495851.493992 18.961513 -0.199533 -0.003098 -0.002065 0.979884
1779938695.822223 505980.361875 2495851.493059 18.961003 -0.199703 -0.003290 -0.002256 0.979848
1779938695.922224 505980.360922 2495851.492310 18.960287 -0.199857 -0.003403 -0.002198 0.979817
1779938696.022224 505980.359877 2495851.491786 18.959537 -0.199717 -0.003712 -0.002125 0.979844
1779938696.122226 505980.358775 2495851.491560 18.958831 -0.199521 -0.003929 -0.002048 0.979884
1779938696.222226 505980.357720 2495851.491686 18.958287 -0.199437 -0.003903 -0.001892 0.979901
1779938696.322227 505980.356877 2495851.492217 18.957947 -0.199522 -0.003481 -0.001721 0.979886
1779938696.422228 505980.356306 2495851.493152 18.957804 -0.199533 -0.003324 -0.001699 0.979884
